# AWG_Sines.py
# NOTE: frequencies get rounded to the nearest integer
# Enter log for logarithmic freq spacing (default lin): log
# Logarithmic frequency sweep
# Enter f0, f1, nf (separated by spaces): 100 10000 13
# freqs = [100, 147, 215, 316, 464, 681, 1000, 1468, 2154, 3162, 4642, 6813, 10000]
# offset 0.500, amplitude 0.500
# step through frequencies
# Loop    1 of    2
# Freq    Vsig   VsRMS   Vfilt   VfRMS    H(f)
   100, -0.0105,  1.1696, -0.0091,  1.1600,  0.9918
   147, -0.0065,  1.1682, -0.0058,  1.1465,  0.9814
   215, -0.0010,  1.1685, -0.0032,  1.1225,  0.9606
   316, -0.0062,  1.1690, -0.0050,  1.0767,  0.9211
   464, -0.0065,  1.1659, -0.0043,  0.9925,  0.8513
   681, -0.0067,  1.1660, -0.0077,  0.8645,  0.7414
  1000, -0.0058,  1.1670, -0.0061,  0.6992,  0.5991
  1468, -0.0075,  1.1680, -0.0057,  0.5284,  0.4524
  2154, -0.0066,  1.1685, -0.0066,  0.3818,  0.3268
  3162, -0.0048,  1.1666, -0.0057,  0.2710,  0.2323
  4642, -0.0002,  1.1667, -0.0067,  0.1871,  0.1604
  6813, -0.0088,  1.1661, -0.0058,  0.1291,  0.1107
 10000, -0.0048,  1.1661, -0.0061,  0.0881,  0.0756
# Clean up
# D O N E ! ! !

